latitude,longitude,angle_deg
-22.713385308501014,-47.628667228400175,267.5
-22.713384507167188,-47.628667262531636,268.0
-22.713383705589123,-47.628667289081015,268.5
-22.713382903827867,-47.62866730804631,269.0
-22.713382101944468,-47.62866731942606,269.5
-22.7133813,-47.6286673232194,270.0
-22.713380498055535,-47.62866731942606,270.5
-22.713379696172137,-47.62866730804631,271.0
-22.71337889441088,-47.628667289081015,271.5
-22.713378092832816,-47.628667262531636,272.0
-22.71337729149899,-47.628667228400175,272.5
-22.713376490470427,-47.62866718668925,273.0
-22.713375689808128,-47.62866713740202,273.5
-22.713374889573068,-47.62866708054225,274.0
-22.713374089826186,-47.62866701611427,274.5
-22.713373290628386,-47.628666944122976,275.0
-22.71337249204053,-47.628666864573866,275.5
-22.71337169412344,-47.628666777472986,276.0
-22.713370896937867,-47.628666682826974,276.5
-22.71337010054453,-47.628666580643035,277.0
-22.713369305004075,-47.628666470928955,277.5
-22.713368510377087,-47.628666353693085,278.0
-22.71336771672408,-47.628666228944354,278.5
-22.713366924105486,-47.62866609669226,279.0
-22.713366132581676,-47.628665956946875,279.5
-22.713365342212924,-47.62866580971885,280.0
-22.713364553059417,-47.62866565501939,280.5
-22.713363765181256,-47.62866549286027,281.0
-22.71336297863844,-47.62866532325385,281.5
-22.713362193490866,-47.62866514621304,282.0
-22.713361409798324,-47.62866496175132,282.5
-22.713360627620503,-47.62866476988275,283.0
-22.71335984701696,-47.62866457062192,283.5
-22.713359068047144,-47.62866436398403,284.0
-22.71335829077038,-47.62866414998479,284.5
-22.713357515245857,-47.62866392864052,285.0
-22.713356741532635,-47.628663699968065,285.5
-22.713355969689633,-47.62866346398484,286.0
-22.713355199775638,-47.628663220708816,286.5
-22.71335443184927,-47.62866297015852,287.0
-22.71335366596902,-47.628662712353034,287.5
-22.713352902193208,-47.62866244731199,288.0
-22.713352140579996,-47.628662175055574,288.5
-22.71335138118739,-47.62866189560451,289.0
-22.713350624073215,-47.62866160898009,289.5
-22.71334986929513,-47.628661315204134,290.0
-22.713349116910617,-47.62866101429902,290.5
-22.71334836697697,-47.62866070628766,291.0
-22.7133476195513,-47.62866039119351,291.5
-22.71334687469053,-47.62866006904057,292.0
-22.713346132451374,-47.62865973985337,292.5
-22.713345392890368,-47.62865940365698,293.0
-22.713344656063825,-47.628659060477,293.5
-22.71334392202786,-47.628658710339565,294.0
-22.713343190838373,-47.62865835327134,294.5
-22.713342462551047,-47.62865798929952,295.0
-22.71334173722134,-47.62865761845182,295.5
-22.713341014904497,-47.628657240756475,296.0
-22.713340295655517,-47.62865685624226,296.5
-22.713339579529176,-47.62865646493845,297.0
