ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad
152	1	-22.713.340.977.206.800	-47.628.543.041.646.400	5.447.242.431.640.620	2025-04-25T19:00:29Z																				
153	1	-22.713.394.621.387.100	-47.628.470.119.088.800	54.424.365.234.375	2025-04-25T19:00:34Z																				
154	1	-22.713.475.003.838.500	-47.628.477.746.620.700	54.424.365.234.375	2025-04-25T19:00:39Z																				
155	1	-2.271.352.244.541.040	-4.762.855.427.339.670	545.685.546.875	2025-04-25T19:00:44Z																				
156	1	-22.713.494.868.949.000	-47.628.640.355.542.300	546.166.259.765.625	2025-04-25T19:00:49Z																				
157	1	-22.713.418.761.268.200	-47.628.661.058.843.100	546.166.259.765.625	2025-04-25T19:00:54Z																				
158	1	-22.713.350.867.852.500	-4.762.861.093.506.210	5.466.468.505.859.370	2025-04-25T19:00:59Z																				
159	1	-22.713.345.419.615.500	-47.628.520.075.231.700	546.166.259.765.625	2025-04-25T19:01:04Z																				
160	1	-22.713.410.966.098.300	-47.628.463.329.747.300	545.685.546.875	2025-04-25T19:01:09Z																				
161	1	-22.713.487.660.512.300	-47.628.487.469.628.400	545.685.546.875	2025-04-25T19:01:14Z																				
162	1	-22.713.523.702.695.900	-47.628.569.528.460.500	545.685.546.875	2025-04-25T19:01:19Z																				
163	1	-22.713.485.062.122.300	-47.628.651.587.292.500	545.685.546.875	2025-04-25T19:01:24Z																				
164	1	-2.271.339.395.083.480	-47.628.659.969.195.700	546.166.259.765.625	2025-04-25T19:01:29Z																				
165	1	-22.713.332.930.579.700	-47.628.598.278.388.300	546.166.259.765.625	2025-04-25T19:01:34Z																				
166	1	-22.713.344.497.606.100	-47.628.507.083.281.800	545.204.833.984.375	2025-04-25T19:01:39Z																				
167	1	-22.713.417.420.163.700	-47.628.465.509.042.100	5.447.242.431.640.620	2025-04-25T19:01:44Z																				
168	1	-22.713.491.264.730.600	-47.628.511.441.871.500	545.204.833.984.375	2025-04-25T19:01:49Z																				
169	1	-22.713.514.985.516.600	-47.628.592.662.513.200	546.166.259.765.625	2025-04-25T19:01:54Z																				
170	1	-22.713.463.772.088.200	-47.628.664.076.328.200	546.166.259.765.625	2025-04-25T19:01:59Z																				
171	1	-22.713.371.906.429.500	-4.762.865.443.713.960	546.166.259.765.625	2025-04-25T19:02:04Z																				
172	1	-22.713.324.297.219.500	-47.628.580.592.572.600	545.685.546.875	2025-04-25T19:02:09Z																				
173	1	-22.713.358.076.289.200	-47.628.488.391.637.800	545.685.546.875	2025-04-25T19:02:14Z																				
174	1	-22.713.430.998.846.800	-4.762.846.190.482.370	545.685.546.875	2025-04-25T19:02:19Z																				
175	1	-22.713.504.759.594.700	-47.628.513.285.890.200	546.166.259.765.625	2025-04-25T19:02:24Z																				
176	1	-22.713.512.470.945.700	-47.628.603.558.987.300	54.712.744.140.625	2025-04-25T19:02:29Z																				
177	1	-22.713.450.277.224.100	-47.628.665.920.346.900	54.712.744.140.625	2025-04-25T19:02:34Z																				
178	1	-22.713.354.974.985.100	-47.628.644.881.770.000	54.712.744.140.625	2025-04-25T19:02:39Z																				
179	1	-22.713.324.381.038.500	-4.762.856.156.565.240	54.712.744.140.625	2025-04-25T19:02:44Z																				
180	1	-22.713.368.469.849.200	-47.628.471.376.374.300	5.466.468.505.859.370	2025-04-25T19:02:49Z																				
181	1	-2.271.345.597.691.830	-47.628.460.060.805.000	545.685.546.875	2025-04-25T19:02:54Z																				
182	1	-22.713.518.254.458.900	-47.628.522.841.259.800	5.466.468.505.859.370	2025-04-25T19:02:59Z																				
183	1	-22.713.504.591.956.700	-47.628.608.923.405.400	54.712.744.140.625	2025-04-25T19:03:04Z																				
184	1	-22.713.432.507.589.400	-47.628.655.610.606.000	54.712.744.140.625	2025-04-25T19:03:09Z																				
185	1	-2.271.335.631.608.960	-47.628.622.418.269.500	54.712.744.140.625	2025-04-25T19:03:14Z																				
186	1	-22.713.337.792.083.600	-47.628.533.402.457.800	54.712.744.140.625	2025-04-25T19:03:19Z																				
187	1	-22.713.385.988.026.800	-47.628.457.378.596.000	546.166.259.765.625	2025-04-25T19:03:24Z																				
188	1	-22.713.472.237.810.400	-47.628.466.347.232.400	546.166.259.765.625	2025-04-25T19:03:29Z																				
189	1	-22.713.521.271.944.000	-47.628.541.868.180.000	546.166.259.765.625	2025-04-25T19:03:34Z																				
190	1	-22.713.506.016.880.200	-47.628.629.039.973.000	5.466.468.505.859.370	2025-04-25T19:03:39Z																				
191	1	-22.713.424.880.057.500	-47.628.661.813.214.400	546.166.259.765.625	2025-04-25T19:03:44Z																				
192	1	-22.713.350.616.395.400	-47.628.608.923.405.400	546.166.259.765.625	2025-04-25T19:03:49Z																				
193	1	-22.713.345.922.529.600	-4.762.851.906.940.340	546.166.259.765.625	2025-04-25T19:03:54Z																				
194	1	-22.713.408.619.165.400	-47.628.460.731.357.300	545.685.546.875	2025-04-25T19:03:59Z																				
195	1	-22.713.485.648.855.500	-47.628.482.272.848.400	5.466.468.505.859.370	2025-04-25T19:04:04Z																				
196	1	-22.713.519.427.925.300	-4.762.855.720.706.280	547.608.154.296.875	2025-04-25T19:04:09Z																				
197	1	-22.713.486.570.864.900	-47.628.634.907.305.200	547.608.154.296.875	2025-04-25T19:04:14Z																				
