ID;trksegID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Temperature;Depth;wtemp;hr;cad
187;1;-22.713.335.445.150.700;-4.762.864.756.397.900;5.423.209.228.515.620;2025-04-23T14:04:41Z;;;;;;;;;;;;;;;;;;;;
188;1;-22.713.335.528.969.700;-47.628.647.312.521.900;5.423.209.228.515.620;2025-04-23T14:04:46Z;;;;;;;;;;;;;;;;;;;;
189;1;-22.713.335.612.788.700;-47.628.647.228.702.900;542.801.513.671.875;2025-04-23T14:04:51Z;;;;;;;;;;;;;;;;;;;;
190;1;-2.271.333.578.042.680;-47.628.647.144.883.800;5.423.209.228.515.620;2025-04-23T14:04:56Z;;;;;;;;;;;;;;;;;;;;
191;1;-22.713.335.864.245.800;-47.628.646.893.426.700;5.423.209.228.515.620;2025-04-23T14:05:01Z;;;;;;;;;;;;;;;;;;;;
192;1;-2.271.333.578.042.680;-47.628.646.725.788.700;5.423.209.228.515.620;2025-04-23T14:05:06Z;;;;;;;;;;;;;;;;;;;;
193;1;-22.713.335.696.607.800;-47.628.646.641.969.600;5.423.209.228.515.620;2025-04-23T14:05:11Z;;;;;;;;;;;;;;;;;;;;
194;1;-2.271.333.578.042.680;-47.628.646.641.969.600;542.801.513.671.875;2025-04-23T14:05:16Z;;;;;;;;;;;;;;;;;;;;
195;1;-22.713.335.696.607.800;-47.628.646.558.150.600;5.423.209.228.515.620;2025-04-23T14:05:21Z;;;;;;;;;;;;;;;;;;;;
196;1;-22.713.335.612.788.700;-47.628.646.474.331.600;5.423.209.228.515.620;2025-04-23T14:05:26Z;;;;;;;;;;;;;;;;;;;;
197;1;-22.713.335.361.331.700;-47.628.646.474.331.600;5.423.209.228.515.620;2025-04-23T14:05:31Z;;;;;;;;;;;;;;;;;;;;
198;1;-2.271.333.527.751.260;-47.628.646.474.331.600;5.423.209.228.515.620;2025-04-23T14:05:36Z;;;;;;;;;;;;;;;;;;;;
199;1;-2.271.333.527.751.260;-47.628.646.390.512.500;5.423.209.228.515.620;2025-04-23T14:05:41Z;;;;;;;;;;;;;;;;;;;;
200;1;-22.713.335.193.693.600;-47.628.646.222.874.500;5.423.209.228.515.620;2025-04-23T14:05:46Z;;;;;;;;;;;;;;;;;;;;
201;1;-22.713.335.193.693.600;-4.762.864.613.905.540;5.423.209.228.515.620;2025-04-23T14:05:51Z;;;;;;;;;;;;;;;;;;;;
202;1;-22.713.335.109.874.600;-47.628.646.222.874.500;5.423.209.228.515.620;2025-04-23T14:05:56Z;;;;;;;;;;;;;;;;;;;;
203;1;-22.713.335.109.874.600;-4.762.864.613.905.540;5.423.209.228.515.620;2025-04-23T14:06:01Z;;;;;;;;;;;;;;;;;;;;
204;1;-22.713.335.109.874.600;-47.628.646.222.874.500;5.423.209.228.515.620;2025-04-23T14:06:06Z;;;;;;;;;;;;;;;;;;;;
205;1;-22.713.335.109.874.600;-4.762.864.613.905.540;5.423.209.228.515.620;2025-04-23T14:06:11Z;;;;;;;;;;;;;;;;;;;;
206;1;-2.271.333.527.751.260;-47.628.645.971.417.400;5.423.209.228.515.620;2025-04-23T14:06:16Z;;;;;;;;;;;;;;;;;;;;
207;1;-22.713.335.445.150.700;-476.286.456.361.413;5.423.209.228.515.620;2025-04-23T14:06:21Z;;;;;;;;;;;;;;;;;;;;
208;1;-22.713.335.612.788.700;-476.286.456.361.413;5.423.209.228.515.620;2025-04-23T14:06:26Z;;;;;;;;;;;;;;;;;;;;
209;1;-22.713.335.612.788.700;-47.628.645.803.779.300;5.423.209.228.515.620;2025-04-23T14:06:31Z;;;;;;;;;;;;;;;;;;;;
210;1;-22.713.335.696.607.800;-47.628.645.803.779.300;5.423.209.228.515.620;2025-04-23T14:06:36Z;;;;;;;;;;;;;;;;;;;;
211;1;-22.713.335.528.969.700;-476.286.456.361.413;5.423.209.228.515.620;2025-04-23T14:06:41Z;;;;;;;;;;;;;;;;;;;;
212;1;-22.713.335.445.150.700;-47.628.645.384.684.200;5.423.209.228.515.620;2025-04-23T14:06:46Z;;;;;;;;;;;;;;;;;;;;
213;1;-22.713.335.445.150.700;-47.628.645.217.046.100;5.423.209.228.515.620;2025-04-23T14:06:51Z;;;;;;;;;;;;;;;;;;;;
214;1;-22.713.335.445.150.700;-47.628.644.965.589.000;5.423.209.228.515.620;2025-04-23T14:06:56Z;;;;;;;;;;;;;;;;;;;;
215;1;-2.271.333.527.751.260;-47.628.644.714.131.900;5.423.209.228.515.620;2025-04-23T14:07:01Z;;;;;;;;;;;;;;;;;;;;
216;1;-22.713.335.361.331.700;-4.762.864.463.031.290;5.423.209.228.515.620;2025-04-23T14:07:06Z;;;;;;;;;;;;;;;;;;;;
217;1;-22.713.335.361.331.700;-47.628.644.546.493.800;5.423.209.228.515.620;2025-04-23T14:07:11Z;;;;;;;;;;;;;;;;;;;;
218;1;-22.713.335.109.874.600;-47.628.644.546.493.800;5.423.209.228.515.620;2025-04-23T14:07:16Z;;;;;;;;;;;;;;;;;;;;
219;1;-22.713.334.942.236.500;-47.628.644.378.855.800;5.423.209.228.515.620;2025-04-23T14:07:21Z;;;;;;;;;;;;;;;;;;;;
220;1;-22.713.335.026.055.500;-47.628.644.462.674.800;5.423.209.228.515.620;2025-04-23T14:07:26Z;;;;;;;;;;;;;;;;;;;;
221;1;-22.713.335.193.693.600;-47.628.644.462.674.800;5.423.209.228.515.620;2025-04-23T14:07:31Z;;;;;;;;;;;;;;;;;;;;
222;1;-2.271.333.527.751.260;-47.628.644.462.674.800;5.423.209.228.515.620;2025-04-23T14:07:36Z;;;;;;;;;;;;;;;;;;;;
223;1;-2.271.333.527.751.260;-47.628.644.295.036.700;5.423.209.228.515.620;2025-04-23T14:07:41Z;;;;;;;;;;;;;;;;;;;;
224;1;-22.713.335.361.331.700;-47.628.644.211.217.700;5.423.209.228.515.620;2025-04-23T14:07:46Z;;;;;;;;;;;;;;;;;;;;
225;1;-22.713.335.193.693.600;-47.628.643.959.760.600;5.423.209.228.515.620;2025-04-23T14:07:51Z;;;;;;;;;;;;;;;;;;;;
226;1;-22.713.335.026.055.500;-47.628.643.708.303.500;5.423.209.228.515.620;2025-04-23T14:07:56Z;;;;;;;;;;;;;;;;;;;;
227;1;-22.713.334.942.236.500;-47.628.643.540.665.500;5.423.209.228.515.620;2025-04-23T14:08:01Z;;;;;;;;;;;;;;;;;;;;
228;1;-22.713.334.858.417.500;-4.762.864.320.538.930;5.423.209.228.515.620;2025-04-23T14:08:06Z;;;;;;;;;;;;;;;;;;;;
229;1;-22.713.334.942.236.500;-47.628.643.121.570.300;5.423.209.228.515.620;2025-04-23T14:08:11Z;;;;;;;;;;;;;;;;;;;;
230;1;-22.713.334.942.236.500;-47.628.642.870.113.200;5.423.209.228.515.620;2025-04-23T14:08:16Z;;;;;;;;;;;;;;;;;;;;
231;1;-22.713.335.109.874.600;-47.628.642.618.656.100;5.423.209.228.515.620;2025-04-23T14:08:21Z;;;;;;;;;;;;;;;;;;;;
232;1;-22.713.335.109.874.600;-47.628.642.534.837.100;5.423.209.228.515.620;2025-04-23T14:08:26Z;;;;;;;;;;;;;;;;;;;;
233;1;-22.713.335.026.055.500;-47.628.642.534.837.100;5.423.209.228.515.620;2025-04-23T14:08:31Z;;;;;;;;;;;;;;;;;;;;
234;1;-22.713.335.109.874.600;-47.628.642.534.837.100;5.423.209.228.515.620;2025-04-23T14:08:36Z;;;;;;;;;;;;;;;;;;;;
235;1;-22.713.335.193.693.600;-47.628.642.283.380.000;5.423.209.228.515.620;2025-04-23T14:08:41Z;;;;;;;;;;;;;;;;;;;;
236;1;-22.713.335.193.693.600;-47.628.642.283.380.000;5.423.209.228.515.620;2025-04-23T14:08:46Z;;;;;;;;;;;;;;;;;;;;
237;1;-22.713.335.109.874.600;-47.628.642.283.380.000;5.423.209.228.515.620;2025-04-23T14:08:51Z;;;;;;;;;;;;;;;;;;;;
238;1;-22.713.334.858.417.500;-47.628.642.283.380.000;5.423.209.228.515.620;2025-04-23T14:08:56Z;;;;;;;;;;;;;;;;;;;;
